id,img_type,k,mse,psnr,original_size,compressed_size,cr,comp_time
a1_8_1,a,8,0.0034487,72.75,85850,45141,0.47,0.32
a1_8_2,a,8,0.0034506,72.75,85850,45248,0.47,0.16
a1_8_3,a,8,0.0031700,73.12,85850,46270,0.46,0.21
a1_16_1,a,16,0.0014842,76.42,85850,46141,0.46,0.22
a1_16_2,a,16,0.0014836,76.42,85850,46091,0.46,0.28
a1_16_3,a,16,0.0015051,76.36,85850,46022,0.46,0.25
a1_32_1,a,32,0.0007864,79.17,85850,45880,0.47,0.41
a1_32_2,a,32,0.0007817,79.20,85850,45882,0.47,0.40
a1_32_3,a,32,0.0007871,79.17,85850,45873,0.47,0.35
a1_64_1,a,64,0.0004557,81.54,85850,45810,0.47,0.77
a1_64_2,a,64,0.0004555,81.55,85850,45764,0.47,0.72
a1_64_3,a,64,0.0004491,81.61,85850,45746,0.47,0.73
a1_96_1,a,96,0.0003358,82.87,85850,45787,0.47,1.18
a1_96_2,a,96,0.0003362,82.87,85850,45786,0.47,1.17
a1_96_3,a,96,0.0003405,82.81,85850,45736,0.47,1.46
a1_128_1,a,128,0.0002743,83.75,85850,45775,0.47,3.09
a1_128_2,a,128,0.0002725,83.78,85850,45759,0.47,1.47
a1_128_3,a,128,0.0002733,83.76,85850,45785,0.47,2.03
a2_8_1,a,8,0.0007853,79.18,41631,14892,0.64,0.22
a2_8_2,a,8,0.0007875,79.17,41631,14694,0.65,0.18
a2_8_3,a,8,0.0007853,79.18,41631,14892,0.64,0.17
a2_16_1,a,16,0.0004432,81.66,41631,14806,0.64,0.26
a2_16_2,a,16,0.0004277,81.82,41631,14940,0.64,0.28
a2_16_3,a,16,0.0004413,81.68,41631,14574,0.65,0.24
a2_32_1,a,32,0.0002210,84.69,41631,14968,0.64,0.32
a2_32_2,a,32,0.0002186,84.74,41631,14852,0.64,0.48
a2_32_3,a,32,0.0002193,84.72,41631,14948,0.64,0.47
a2_64_1,a,64,0.0001189,87.38,41631,14838,0.64,0.82
a2_64_2,a,64,0.0001178,87.42,41631,14873,0.64,0.71
a2_64_3,a,64,0.0001186,87.39,41631,14898,0.64,1.17
a2_96_1,a,96,0.0000859,88.79,41631,14923,0.64,2.55
a2_96_2,a,96,0.0000863,88.77,41631,14927,0.64,1.86
a2_96_3,a,96,0.0000877,88.70,41631,14956,0.64,0.84
a2_128_1,a,128,0.0000720,89.56,41631,14943,0.64,1.69
a2_128_2,a,128,0.0000716,89.58,41631,14942,0.64,1.53
a2_128_3,a,128,0.0000714,89.60,41631,14913,0.64,1.65
a3_8_1,a,8,0.0008365,78.91,71570,21023,0.71,0.23
a3_8_2,a,8,0.0008335,78.92,71570,21053,0.71,0.15
a3_8_3,a,8,0.0008335,78.92,71570,21053,0.71,0.17
a3_16_1,a,16,0.0002221,84.66,71570,20797,0.71,0.20
a3_16_2,a,16,0.0002232,84.64,71570,20636,0.71,0.16
a3_16_3,a,16,0.0002224,84.66,71570,20697,0.71,0.19
a3_32_1,a,32,0.0000598,90.36,71570,20100,0.72,0.26
a3_32_2,a,32,0.0000579,90.50,71570,19944,0.72,0.26
a3_32_3,a,32,0.0000591,90.41,71570,20067,0.72,0.28
a3_64_1,a,64,0.0000144,96.53,71570,19916,0.72,0.42
a3_64_2,a,64,0.0000145,96.51,71570,19921,0.72,0.45
a3_64_3,a,64,0.0000147,96.45,71570,19931,0.72,0.41
a3_96_1,a,96,0.0000066,99.96,71570,19901,0.72,0.85
a3_96_2,a,96,0.0000067,99.89,71570,19903,0.72,1.89
a3_96_3,a,96,0.0000069,99.76,71570,19875,0.72,1.10
a3_128_1,a,128,0.0000037,102.46,71570,19894,0.72,0.74
a3_128_2,a,128,0.0000035,102.70,71570,19916,0.72,0.79
a3_128_3,a,128,0.0000037,102.45,71570,19910,0.72,0.80
b1_8_1,b,8,0.0039445,72.17,120819,36703,0.70,0.23
b1_8_2,b,8,0.0037875,72.35,120819,36608,0.70,0.22
b1_8_3,b,8,0.0037844,72.35,120819,36833,0.70,0.32
b1_16_1,b,16,0.0019143,75.31,120819,37745,0.69,0.40
b1_16_2,b,16,0.0019480,75.23,120819,37949,0.69,0.34
b1_16_3,b,16,0.0018918,75.36,120819,37324,0.69,0.39
b1_32_1,b,32,0.0010243,78.03,120819,37493,0.69,0.73
b1_32_2,b,32,0.0010231,78.03,120819,37657,0.69,0.85
b1_32_3,b,32,0.0010282,78.01,120819,37549,0.69,0.73
b1_64_1,b,64,0.0005783,80.51,120819,37634,0.69,1.35
b1_64_2,b,64,0.0005752,80.53,120819,37528,0.69,1.49
b1_64_3,b,64,0.0005742,80.54,120819,37709,0.69,1.65
b1_96_1,b,96,0.0004171,81.93,120819,37693,0.69,3.44
b1_96_2,b,96,0.0004179,81.92,120819,37697,0.69,3.63
b1_96_3,b,96,0.0004191,81.91,120819,37783,0.69,2.25
b1_128_1,b,128,0.0003367,82.86,120819,37830,0.69,2.97
b1_128_2,b,128,0.0003377,82.85,120819,37767,0.69,5.38
b1_128_3,b,128,0.0003388,82.83,120819,37828,0.69,3.12
b2_8_1,b,8,0.0018158,75.54,82921,27587,0.67,0.25
b2_8_2,b,8,0.0016962,75.84,82921,27853,0.66,0.32
